date,spotify_ratio,youtube_ratio,watchlist_hits
2026-07-18,0.1950,0.1000,39
2026-07-19,0.2050,0.1000,41
2026-07-21,0.2050,0.0500,41
2026-07-22,0.2550,0.1000,51
2026-07-23,0.2600,0.1500,52
2026-07-24,0.2500,0.1500,50
2026-07-25,0.2650,0.1500,53
2026-07-26,0.2550,0.0500,51
2026-07-27,0.2700,0.0500,54
2026-07-28,0.2600,0.0500,52
2026-08-02,0.2600,0.1500,52
2026-08-03,0.2700,0.1500,54
2026-08-04,0.2550,0.1000,51
2026-08-05,0.2700,0.1500,54
2026-08-06,0.2700,0.1500,54
2026-08-07,0.2550,0.1000,51
2026-08-08,0.2500,0.1000,50
2026-08-09,0.2300,0.1000,46
2026-08-10,0.2550,0.0500,51
2026-08-11,0.2700,0.0500,54
2026-08-12,0.2600,0.0500,52
2026-08-13,0.2500,0.0500,50
2026-08-14,0.2550,0.0500,51
2026-08-15,0.2550,0.1000,51
2026-08-16,0.2450,0.1000,49
