pos,change,title,days,peak,streams,total,artistIds
1,=,CORTIS - REDRED,94,1,94057,10047373,1ebt9HnXdyYA6KgLXr1n4P
2,=,RESCENE - LOVE ATTACK,63,2,79972,3538610,5deOsjuFTKrNMJW3rKuL8S
3,=,RESCENE - Pretty Girl,15,3,70072,859166,5deOsjuFTKrNMJW3rKuL8S
4,=,aespa - LEMONADE,55,2,60181,4370190,6YVMFz59CuY7ngCxTxjpxE
5,=,ILLIT - It's Me,84,2,59242,6056169,36cgvBn0aadzOijnjjwqMN
6,=,Jimin - Who,734,1,54839,102296034,1oSPZhvZMIrWW5I41kPkkY
7,=,HANRORO - 0+0,308,1,50379,15094210,5wVJpXzuKV6Xj7Yhsf2uYx
8,=,Hearts2Hearts - Lemon Tang,31,2,49211,1815599,1ZLU77nRzQIaP23mVSYpCQ
9,+2,I.O.I - Suddenly,64,4,49066,3668155,6RKnXXyprPjhBdCvL802Ku
10,=,ATEEZ - BAD,23,10,49020,838838,68KmkJeZGfwe1OUaivBa2L
11,-2,HANRORO - Landing in Love,373,1,48210,16404450,5wVJpXzuKV6Xj7Yhsf2uYx
12,=,RESCENE - Deja Vu,52,12,46864,1192194,5deOsjuFTKrNMJW3rKuL8S
13,=,Hearts2Hearts - RUDE!,153,1,46330,9476739,1ZLU77nRzQIaP23mVSYpCQ
14,=,HANRORO - Let Me Love My Youth,376,6,38989,10241735,5wVJpXzuKV6Xj7Yhsf2uYx
15,=,Nerd Connection - If I have you only (My love X Nerd Connection),980,15,37988,12155635,5WKUZJPvN1SScyggtPFShK
16,+2,KiiiKiii - 404 (New Era),178,1,37181,8690384,63sat2XSMKdwKfqspmYQKP
17,-1,WOODZ - Drowning,659,7,37092,14793087,6y9nlaoynxSvoTGY09Vdcy
18,-1,TAEYEON - Bansanka,24,10,36579,908662,3qNVuliS40BLgXGxhdBdqu
19,=,Jung Kook - Seven (w/ Latto ),1105,1,35509,70243130,6HaGTQPmzraVmaVxvz6EUc;3MdXrJWsbVzdn6fe5JYkSQ
20,=,Jin - Don’t Say You Love Me,433,1,33696,23259362,5vV3bFXnN6D6N3Nj4xRvaV
21,+2,BTS - SWIM,125,1,33048,7127341,3Nrfpe0tUJi4K4DXYWgMUX
22,=,YENA - Catch Catch,128,10,32938,4801004,49muoiIu4uea4PO8vueUNN
23,+1,OFFICIAL HIGE DANDISM - Pretender,759,19,32523,11670769,5Vo1hnCRmCM6M4thZCInCj
24,-3,RESCENE - Runaway,54,17,32225,1231948,5deOsjuFTKrNMJW3rKuL8S
25,=,NMIXX - Heavy Serenade,73,3,32162,3564917,28ot3wh4oNmoFOdVajibBl
26,+6,"Woo - We Are (w/ Loco , GRAY )",582,15,31822,7018481,5a8EJtOEbUJDF4RX3mKK02;2e4G04F77jxVuDYo44TCSm;3kPEBSt7qgVoRZSbIXMr7W
