pos,change,title,days,peak,streams,total,artistIds
1,=,IU - Dear my crazy soulmate,,,1776319,,
2,+1,SOYEON - 퇴사할게여,,,1518642,,
3,+1,ATEEZ - BAD,,,945476,,
4,+1,RESCENE - LOVE ATTACK,,,875319,,
5,+1,RESCENE - Pretty Girl,,,736082,,
6,-4,ALL(H)OURS - DANG DANG,,,714900,,
7,=,CORTIS - REDRED,,,694842,,
8,+1,aespa - LEMONADE,,,682138,,
9,+1,Lim Young Woong - 또또,,,673934,,
10,-2,IU - Unknown Planet,,,641446,,
11,NEW,Roy Kim - Sparkle,,,612555,,
12,NEW,Girls' Generation-HRS - Skibidi,,,606045,,
13,NEW,meomuru - 꿈꾸던 어른이 되었나요?,,,597614,,
14,-2,RESCENE - Deja Vu,,,596441,,
15,-1,Hearts2Hearts - RUDE!,,,554800,,
16,-5,ILLIT - It's Me,,,543940,,
17,-4,BIGBANG - BiiiG,,,525678,,
18,-3,HWASA - Good Goodbye,,,508127,,
19,-1,D.O. - Guitarist,,,486548,,
20,-4,I.O.I - 갑자기,,,468663,,
